ContractAddress,Past30Days,30-60DaysAgo,MoM,NewMAAs,M2Retention,DailyAverage,DAUMAU,TotalTransactions,GasBurnt,Transactions-30Days,AvgTxnperMAU
Overall,3488244,2727507,27.89,1340913,42.06,815940,23.39,123905533,287.6191602026014,47547038,13.63
Kai-Ching,2205061,1628095,35.44,792823,70.04,690767.1428571428,31.33,86564099,9711.782634102019,21377398,9.69
Sweat Economy,1012246,791525,27.89,349250,42.48,111060.42857142857,10.97,111879465,1470.0013313891575,10186034,10.06
OTHER,225611,162680,38.68,121468,34.28,8565,3.80,115879723,2023.2888800392248,11608516,51.45
Play Ember,161985,201522,-19.62,121720,11.05,6910.285714285715,4.27,17177905,46.034764890581336,235000,1.45
Mintbase,15815,9441,67.51,15679,0.21,10,0.06,675547,1.966331510218381,21615,1.37
Seventh Age,15274,6850,122.98,15249,0.03,0,0.00,482967,1.7098483400436815,17483,1.14
Staking Pools,12997,8337,55.90,6847,31.46,784.7142857142857,6.04,3669596,11.230266631014402,76795,5.91
Exchanges,7532,4438,69.72,5704,16.27,401.57142857142856,5.33,531089,3.031667487912042,16732,2.22
Orderly,4682,30409,-84.60,931,2.42,137,2.93,37727986,110.88601370450773,550485,117.57
Wrapped NEAR,4581,2880,59.06,1701,28.15,359.85714285714283,7.86,4737094,12.397092740275182,83551,18.24
USDT,4087,5885,-30.55,1254,15.15,221.42857142857142,5.42,4208003,11.462181019898539,44330,10.85
Rainbow Bridge,3811,3558,7.11,1066,22.09,268.42857142857144,7.04,2440346,6.119656283728666,58645,15.39
NEAR Social,3060,2066,48.11,953,30.42,227.28571428571428,7.43,1978161,6.5017654736135215,29666,9.69
Meteor Wallet - Points,2798,0,0.00,1938,100.00,746.4285714285714,26.68,518364,1.2820826282140612,20072,7.17
Learn NEAR Club,1773,2166,-18.14,984,9.78,289.7142857142857,16.34,1517288,5.175672432886827,23040,12.99
REF,1488,991,50.15,455,21.96,106.71428571428571,7.17,3076294,226.63286135393804,179527,120.65
NEAR Crowd,1052,1033,1.84,47,38.30,458.2857142857143,43.56,54556077,187.00159649667674,1324745,1259.26
HERE Wallet,958,888,7.88,204,39.76,117.85714285714286,12.30,928205,2.516185301265884,7252,7.57
nearcon23.near,861,2,42950.00,858,0.00,0.42857142857142855,0.05,112951,0.28390121290682685,5370,6.24
Paras,804,579,38.86,266,23.74,55.714285714285715,6.93,308720,0.7793801416344543,5930,7.38
