,activity_date,total_supply,total_locked,foundation_locked,lockups_locked_tokens,total_unlocked,total_staked,total_liquid,pct_stake_change
334,2021-09-09,1044502880.4463799,516674428.81393564,76915781.1703078,516674428.81393564,450912670.46213645,409611375.36921966,41301295.09291679,-0.7941632182694178
335,2021-09-10,1044655128.8572404,516148186.0238437,75881298.40551737,516148186.0238437,452625644.4278794,405813612.12666565,46812032.30121374,-0.9358392939684279
336,2021-09-11,1044807572.6265792,515621947.22626126,75881298.40551737,515621947.22626126,453304326.99480057,404067673.3464839,49236653.64831668,-0.43209068563241715
337,2021-09-12,1044883828.2606148,515095707.45513225,75881298.40681837,515095707.45513225,453906822.39866424,404036669.2794074,49870153.119256854,-0.007673577532401055
338,2021-09-13,1045036761.9973054,520269460.8900231,64846765.64579967,520269460.8900231,459920535.4614826,414566034.694812,45354500.766670585,2.539852408110548
339,2021-09-14,1045191711.2258042,519771521.65844995,64846765.64710427,519771521.65844995,460573423.92025,414817789.23038745,45755634.68986255,0.06069039036212587
340,2021-09-15,1045345109.2753662,519245278.67761606,64846765.64710427,519245278.67761606,461253064.9506458,414986865.8060168,46266199.144629,0.04074263297488301
341,2021-09-16,1045497999.6437174,518744032.2987125,64846765.648408845,518744032.2987125,461907201.6965961,415032273.67890775,46874928.017688334,0.010940805274842091
342,2021-09-17,1045652469.8018203,518217795.0230146,64846765.648408845,518217795.0230146,462587909.1303969,415158160.9611242,47429748.16927272,0.030322728553628053
343,2021-09-18,1045806672.3709698,517691550.7224415,64846765.648408845,517691550.7224415,463268356.0001194,415357065.37411135,47911290.626008034,0.04788757181920289
344,2021-09-19,1045882429.5460174,517165311.4946412,64846765.648408845,517165311.4946412,463870352.4029673,415873703.3736913,47996649.029275954,0.12422954262048336
345,2021-09-20,1046037717.5204558,516724308.4769479,64758448.6414107,516724308.4769479,464554960.40209717,415980182.2768487,48574778.12524849,0.025597109596560585
346,2021-09-21,1046192606.1057957,516197583.6239578,64758448.6414107,516197583.6239578,465236573.84042716,416174820.6003774,49061753.24004978,0.04676840450076725
347,2021-09-22,1046343898.2722684,515670853.9343228,64758448.6414107,515670853.9343228,465914595.69653493,415357735.7676465,50556859.92888844,-0.19671833756045487
348,2021-09-23,1046498086.4556651,515029110.7470669,64758448.6427153,515029110.7470669,466710527.0658829,415519096.0209535,51191431.044929445,0.0388334146016831
349,2021-09-24,1046649500.6809669,514422384.9524605,64758448.6427153,514422384.9524605,467468667.085791,420663004.9746659,46805662.11112511,1.2228099197889293
350,2021-09-25,1046801641.6674906,513895660.0022767,64758448.6427153,513895660.0022767,468147533.0224985,420597951.81294006,47549581.20955843,-0.015466827987495435
351,2021-09-26,1046878040.7818834,513368937.01216745,64758448.6427153,513368937.01216745,468750655.12700063,421067958.0647449,47682697.06225574,0.1116224217024353
352,2021-09-27,1047030210.3914104,512842208.39953434,64758448.6427153,512842208.39953434,469429553.3491608,421163596.8806891,48265956.468471706,0.022708234199853905
353,2021-09-28,1047182376.2771409,512590174.0552108,64758448.645318106,512590174.0552108,469833753.57661194,422450358.43760514,47383395.13900679,0.30459473668693704
354,2021-09-29,1047333918.4966933,512071570.4901833,64758448.64662271,512071570.4901833,470503899.35988736,422328699.7455473,48175199.61434007,-0.028806636189088408
355,2021-09-30,1047486817.0054595,511544640.7783584,64758448.64662271,511544640.7783584,471183727.5804784,420032710.26070356,51151017.319774866,-0.5466215913086074
356,2021-10-01,1047638985.0889668,511017729.00490373,64758448.64662271,511017729.00490373,471862807.43744045,421260987.7005191,50601819.73692137,0.29157160897337064
357,2021-10-02,1047791937.6010295,510490816.56118596,64758448.64662271,510490816.56118596,472542672.39322084,423029267.39613014,49513404.9970907,0.418004103237422
358,2021-10-03,1047944978.5106831,509963898.8327304,64758448.64662271,509963898.8327304,473222631.03133005,423122294.96403795,50100336.067292094,0.02198597639855393
359,2021-10-04,1048021607.2778474,509549215.0655112,64758448.64923203,509549215.0655112,473713943.5631043,423156797.1465521,50557146.416552186,0.008153521991559387
360,2021-10-05,1048176050.1873983,509022302.32839596,64758448.64923203,509022302.32839596,474395299.20977026,423301592.6211186,51093706.58865166,0.034206220125454934
361,2021-10-06,1048331752.7885265,508495386.7975817,64758448.64923203,508495386.7975817,475077917.3417128,423302582.3307458,51775335.01096696,0.00023380665948025126
362,2021-10-07,1048487319.7109941,508013353.68045866,64758448.647783205,508013353.68045866,475715517.38275224,423334355.45707685,52381161.92567539,0.007505444791206628
363,2021-10-08,1048639342.0058213,507544036.2379922,64758448.650389664,507544036.2379922,476336857.11743957,423382958.7425516,52953898.37488794,0.011479745339570968
364,2021-10-09,1048790224.8499974,507017090.7156187,64758448.65149454,507017090.7156187,477014685.4828841,423378299.27198434,53636386.21089977,-0.0011005454401527004
365,2021-10-10,1048939657.4198408,506490144.50319517,64758448.65071696,506490144.50319517,477691064.2659287,422760468.2939023,54930595.97202641,-0.14614208858631628
366,2021-10-11,1049089099.4890534,506586771.7458815,64133839.02536992,506586771.7458815,478368488.7178019,421146565.2165095,57221923.50129241,-0.38321648819884047
367,2021-10-12,1049237950.1850601,506108648.46481884,63933839.02524301,506108648.46481884,479195462.6949983,424444537.05227447,54750925.64272386,0.7770089017210609
368,2021-10-13,1049310094.6283299,466304269.52639574,63557724.01647692,466304269.52639574,519448101.0854573,424266570.4530364,95181530.6324209,-0.04194688236877653
369,2021-10-14,1049465028.8094329,465851952.37445074,63557724.01647692,465851952.37445074,520055352.41850513,424549631.544839,95505720.87366611,0.06667326285800357
370,2021-10-15,1049613348.3614191,465339794.773549,63557724.01647692,465339794.773549,520715829.57139313,424782121.5523916,95933708.01900154,0.05473158962126945
371,2021-10-16,1049760546.7498703,464887472.844695,63557724.01647692,464887472.844695,521315349.8886984,424121018.87065136,97194331.01804703,-0.15587595340136318
372,2021-10-17,1049906684.3717971,464435155.23546594,63557724.01647692,464435155.23546594,521913805.1198542,423509914.30025345,98403890.81960076,-0.14429522185037058
373,2021-10-18,1050053322.8276964,463982839.49976057,63557724.01647692,463982839.49976057,522512759.31145895,423933990.65477407,98578768.65668488,0.10003358161152676
374,2021-10-19,1050205972.8542995,463530520.21485275,63557724.01647692,463530520.21485275,523117728.6229698,420843635.5427209,102274093.08024889,-0.7343238321919472
